City,Date,Value,Year,Month,Value_lag1,temperature_2m_mean (°C)_lag1,temperature_2m_max (°C)_lag1,temperature_2m_min (°C)_lag1,apparent_temperature_mean (°C)_lag1,apparent_temperature_max (°C)_lag1,apparent_temperature_min (°C)_lag1,precipitation_sum (mm)_lag1,rain_sum (mm)_lag1,precipitation_hours (h)_lag1,shortwave_radiation_sum (MJ/m²)_lag1,et0_fao_evapotranspiration (mm)_lag1,wind_speed_10m_max (km/h)_lag1,wind_gusts_10m_max (km/h)_lag1,wind_direction_10m_dominant (°)_lag1,weather_code (wmo code)_lag1,utc_offset_seconds_lag1
Ampara,2010-12-01,23,2010,12,24.0,25.64333333333333,28.69,23.8,30.596666666666668,34.47,28.376666666666665,348.2,348.2,367.0,465.48,93.57000000000001,18.3,49.3,205.13333333333333,63.0,19800.0
Ampara,2011-01-01,15,2011,1,23.0,24.532258064516128,26.825806451612905,22.993548387096773,28.5258064516129,31.219354838709677,26.58709677419355,518.9,518.9,451.0,367.35,74.73,21.6,51.5,182.03225806451613,63.0,19800.0
Ampara,2011-02-01,7,2011,2,15.0,24.03548387096774,26.13225806451613,22.687096774193545,27.138709677419353,29.58709677419355,25.551612903225806,557.7,557.7,463.0,388.96,78.26,25.3,49.7,158.96774193548387,63.0,19800.0
Ampara,2011-03-01,8,2011,3,7.0,24.857142857142858,27.32857142857143,23.014285714285712,28.467857142857145,31.37142857142857,26.514285714285712,464.9,464.9,283.0,423.4,86.8,23.7,52.9,123.96428571428571,51.0,19800.0
Ampara,2011-04-01,24,2011,4,8.0,25.948387096774194,29.325806451612905,23.364516129032257,30.509677419354837,35.12903225806452,27.54516129032258,108.0,108.0,183.0,641.28,129.18,22.1,46.4,134.0,51.0,19800.0
Ampara,2011-05-01,12,2011,5,24.0,27.023333333333333,30.69,24.33,32.33,37.39,29.40666666666667,144.2,144.2,166.0,634.84,132.1,15.0,33.8,148.63333333333333,61.0,19800.0
Ampara,2011-06-01,32,2011,6,12.0,28.567741935483873,32.512903225806454,25.53548387096774,34.04516129032258,39.60645161290322,30.496774193548386,39.1,39.1,66.0,704.73,154.32,20.2,42.8,194.09677419354838,51.0,19800.0
Ampara,2011-07-01,28,2011,7,32.0,29.546666666666667,34.013333333333335,25.75,34.04333333333334,39.516666666666666,30.046666666666667,20.1,20.1,27.0,663.73,155.2,16.8,41.4,211.06666666666666,1.0,19800.0
Ampara,2011-08-01,11,2011,8,28.0,28.95483870967742,33.54838709677419,25.787096774193547,33.62580645161291,39.229032258064514,30.251612903225805,75.7,75.7,55.0,639.65,148.31,18.1,47.2,187.4516129032258,61.0,19800.0
Ampara,2011-09-01,26,2011,9,11.0,28.52258064516129,33.145161290322584,25.429032258064513,32.83548387096774,38.68064516129032,29.44516129032258,81.7,81.7,85.0,650.45,153.29,24.5,47.5,193.58064516129033,55.0,19800.0
Ampara,2011-10-01,18,2011,10,26.0,28.566666666666666,32.95333333333333,25.523333333333333,33.23,38.986666666666665,29.94,73.7,73.7,69.0,663.24,151.17000000000002,19.3,45.4,191.63333333333333,63.0,19800.0
Ampara,2011-11-01,22,2011,11,18.0,26.654838709677417,29.88064516129032,24.638709677419353,31.970967741935485,36.23225806451613,29.729032258064517,285.6,285.6,344.0,569.21,117.34,15.0,38.2,123.06451612903226,61.0,19800.0
Ampara,2011-12-01,81,2011,12,22.0,25.636666666666667,28.313333333333333,23.82,30.209999999999997,33.51,28.09333333333333,214.3,214.3,327.0,478.31,95.9,26.0,51.5,132.2,61.0,19800.0
Ampara,2012-01-01,59,2012,1,81.0,25.13225806451613,27.574193548387097,23.38064516129032,28.73225806451613,31.361290322580647,26.80322580645161,407.0,407.0,338.0,437.96,91.1,22.1,48.6,145.0,51.0,19800.0
Ampara,2012-02-01,49,2012,2,59.0,24.73225806451613,27.34193548387097,22.37741935483871,27.758064516129032,30.47741935483871,25.67096774193548,64.4,64.4,178.0,544.55,111.92,25.4,51.5,68.25806451612904,51.0,19800.0
Ampara,2012-03-01,29,2012,3,49.0,25.231034482758623,27.910344827586208,23.089655172413792,28.79310344827586,31.727586206896554,26.78965517241379,84.2,84.2,222.0,526.11,106.29,21.4,44.6,35.48275862068966,51.0,19800.0
Ampara,2012-04-01,17,2012,4,29.0,27.019354838709678,30.85483870967742,23.990322580645163,31.490322580645163,36.538709677419355,28.40967741935484,26.0,26.0,62.0,730.68,154.62,16.4,37.1,103.80645161290323,2.0,19800.0
Ampara,2012-05-01,31,2012,5,17.0,27.303333333333335,30.92,24.88,32.46666666666667,37.38666666666666,29.756666666666668,98.6,98.6,138.0,613.59,129.56,16.7,38.2,181.5,63.0,19800.0
Ampara,2012-06-01,38,2012,6,31.0,29.68064516129032,34.07096774193548,26.093548387096774,34.693548387096776,40.73870967741936,30.60967741935484,13.200000000000001,13.200000000000001,25.0,744.95,174.25,18.7,41.8,188.4516129032258,1.0,19800.0
Ampara,2012-07-01,38,2012,7,38.0,29.89,34.809999999999995,26.116666666666667,33.553333333333335,39.42333333333333,29.66,16.900000000000002,16.900000000000002,26.0,644.01,166.66,19.7,45.7,212.3,2.0,19800.0
Ampara,2012-08-01,24,2012,8,38.0,29.538709677419355,34.34193548387096,25.84193548387097,33.619354838709675,39.50967741935484,29.69677419354839,44.9,44.9,33.0,671.78,161.5,20.3,56.9,197.2258064516129,1.0,19800.0
Ampara,2012-09-01,12,2012,9,24.0,29.287096774193547,33.96451612903226,25.94516129032258,32.86451612903226,38.79677419354839,29.358064516129033,46.5,46.5,63.0,660.98,167.94,22.5,47.5,205.51612903225808,2.0,19800.0
Ampara,2012-10-01,33,2012,10,12.0,28.706666666666667,33.35666666666667,25.59333333333333,33.11,39.056666666666665,29.78666666666667,76.0,76.0,77.0,647.74,152.4,19.9,45.7,194.26666666666668,61.0,19800.0
Ampara,2012-11-01,83,2012,11,33.0,26.73225806451613,30.15806451612903,24.654838709677417,31.183870967741935,35.53225806451613,28.845161290322583,293.1,293.1,298.0,548.57,120.82000000000001,27.6,64.1,170.6451612903226,63.0,19800.0
Ampara,2012-12-01,144,2012,12,83.0,25.736666666666668,28.62,23.94,30.293333333333333,33.86666666666667,28.23,198.4,198.4,253.0,477.34,97.49,24.7,49.3,214.4,61.0,19800.0
Ampara,2013-01-01,108,2013,1,144.0,24.95483870967742,27.312903225806455,23.316129032258065,28.925806451612903,31.741935483870968,27.032258064516128,311.6,311.6,367.0,415.99,84.33,24.3,48.2,91.35483870967742,63.0,19800.0
Ampara,2013-02-01,159,2013,2,108.0,24.893548387096775,27.019354838709678,23.361290322580647,27.793548387096774,30.083870967741937,26.287096774193547,458.2,458.2,245.0,444.63,96.44,23.5,47.9,130.80645161290323,63.0,19800.0
Ampara,2013-03-01,158,2013,3,159.0,25.45,28.060714285714287,23.34642857142857,29.285714285714285,32.56071428571429,27.11785714285714,117.6,117.6,201.0,495.58,101.29,21.8,45.0,84.21428571428571,51.0,19800.0
Ampara,2013-04-01,51,2013,4,158.0,26.490322580645163,29.30322580645161,24.238709677419354,31.41290322580645,35.28709677419355,29.006451612903227,121.10000000000001,121.10000000000001,225.0,615.76,125.69,20.9,44.3,68.74193548387096,53.0,19800.0
Ampara,2013-05-01,53,2013,5,51.0,28.36,32.03,25.59,33.78,38.74666666666667,30.926666666666666,40.6,40.6,80.0,686.95,149.14000000000001,16.6,36.0,148.73333333333332,1.0,19800.0
Ampara,2013-06-01,27,2013,6,53.0,28.774193548387096,32.59032258064516,26.003225806451614,34.222580645161294,39.37419354838709,30.95483870967742,80.2,80.2,84.0,653.05,145.66,25.3,57.2,190.2258064516129,51.0,19800.0
Ampara,2013-07-01,35,2013,7,27.0,28.813333333333333,33.1,25.776666666666664,32.77,37.59,29.733333333333334,37.0,37.0,47.0,578.85,141.76,21.9,56.2,231.0,51.0,19800.0
Ampara,2013-08-01,30,2013,8,35.0,28.79032258064516,33.432258064516134,25.496774193548386,32.883870967741935,38.567741935483866,29.325806451612905,51.8,51.8,43.0,634.1899999999999,151.9,18.4,46.1,216.96774193548387,2.0,19800.0
Ampara,2013-09-01,29,2013,9,30.0,28.929032258064513,33.63225806451613,25.46451612903226,33.16129032258065,38.983870967741936,29.641935483870967,61.9,61.9,58.0,684.39,160.64,21.2,53.3,168.74193548387098,51.0,19800.0
